AGI;abscisic_acid;auxin;brassinosteroid;cytokinin;ethylene;gibberellin;jasmonic_acid;salicylic_acid;summary;summary_detailed;pieVec
AT2G20180;1;0;0;0;0;1;0;0;multiple;abscisic acid,gibberellin;piechart: valuelist="1,0,0,0,0,1,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G22090;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G23430;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G26290;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G26980;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G30020;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G30250;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G31470;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G31660;1;0;0;0;0;0;1;0;multiple;abscisic acid,jasmonic acid;piechart: valuelist="1,0,0,0,0,0,1,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G33790;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G34900;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G36270;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G38050;1;0;1;0;0;0;0;0;multiple;abscisic acid,brassinosteroid;piechart: valuelist="1,0,1,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G38470;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G39550;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G39940;1;0;0;0;0;0;1;0;multiple;abscisic acid,jasmonic acid;piechart: valuelist="1,0,0,0,0,0,1,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G40180;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G40220;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G40340;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G42680;1;0;0;0;1;0;0;0;multiple;abscisic acid,ethylene;piechart: valuelist="1,0,0,0,1,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G43790;1;0;0;0;1;0;1;1;multiple;abscisic acid,ethylene,jasmonic acid,salicylic acid;piechart: valuelist="1,0,0,0,1,0,1,1" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G46370;1;0;0;0;0;0;1;0;multiple;abscisic acid,jasmonic acid;piechart: valuelist="1,0,0,0,0,0,1,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G46830;1;0;0;0;0;1;0;0;multiple;abscisic acid,gibberellin;piechart: valuelist="1,0,0,0,0,1,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G47770;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G08550;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G11240;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G11410;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G12490;1;0;0;0;0;1;0;0;multiple;abscisic acid,gibberellin;piechart: valuelist="1,0,0,0,0,1,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G15730;1;0;0;0;0;0;1;0;multiple;abscisic acid,jasmonic acid;piechart: valuelist="1,0,0,0,0,0,1,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G18130;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G20770;1;0;0;0;1;0;0;0;multiple;abscisic acid,ethylene;piechart: valuelist="1,0,0,0,1,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G23050;1;1;0;0;0;0;0;0;multiple;abscisic acid,auxin;piechart: valuelist="1,1,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G24520;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G24650;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G26790;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G48040;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G48360;1;1;0;0;0;0;0;0;multiple;abscisic acid,auxin;piechart: valuelist="1,1,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G53480;1;1;0;0;0;0;0;0;multiple;abscisic acid,auxin;piechart: valuelist="1,1,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G54320;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G55530;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G58680;1;0;0;0;1;0;0;0;multiple;abscisic acid,ethylene;piechart: valuelist="1,0,0,0,1,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G63210;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT4G09570;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT4G15900;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT4G16280;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT4G18010;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT4G19850;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT4G21670;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT4G23650;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
